gis_id,NBH_NAMES
Nbclus_026,"Capitol Hill, Lincoln Park"
Nbclus_025,"Union Station, Stanton Park, Kingman Park"
Nbclus_034,"Twining, Fairlawn, Randle Highlands, Penn Branch, Fort Davis Park, Fort Dupont"
Nbclus_037,"Sheridan, Barry Farm, Buena Vista"
Nbclus_035,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park"
Nbclus_028,Historic Anacostia
Nbclus_010,"Hawthorne, Barnaby Woods, Chevy Chase"
Nbclus_016,"Colonial Village, Shepherd Park, North Portal Estates"
Nbclus_017,"Takoma, Brightwood, Manor Park"
Nbclus_019,"Lamont Riggs, Queens Chapel, Fort Totten, Pleasant Hill"
Nbclus_011,"Friendship Heights, American University Park, Tenleytown"
Nbclus_018,"Brightwood Park, Crestwood, Petworth"
Nbclus_012,"North Cleveland Park, Forest Hills, Van Ness"
Nbclus_020,"North Michigan Park, Michigan Park, University Heights"
Nbclus_013,"Spring Valley, Palisades, Wesley Heights, Foxhall Crescent, Foxhall Village, Georgetown Reservoir"
Nbclus_015,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace"
Nbclus_014,"Cathedral Heights, McLean Gardens, Glover Park"
Nbclus_024,"Woodridge, Fort Lincoln, Gateway"
Nbclus_022,"Brookland, Brentwood, Langdon"
Nbclus_002,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View"
Nbclus_021,"Edgewood, Bloomingdale, Truxton Circle, Eckington"
Nbclus_001,"Kalorama Heights, Adams Morgan, Lanier Heights"
Nbclus_003,"Howard University, Le Droit Park, Cardozo/Shaw"
Nbclus_006,"Dupont Circle, Connecticut Avenue/K Street"
Nbclus_004,"Georgetown, Burleith/Hillandale"
Nbclus_023,"Ivy City, Arboretum, Trinidad, Carver Langston"
Nbclus_029,"Eastland Gardens, Kenilworth"
Nbclus_007,"Shaw, Logan Circle"
Nbclus_031,"Deanwood, Burrville, Grant Park, Lincoln Heights, Fairmont Heights"
Nbclus_030,"Mayfair, Hillbrook, Mahaning Heights"
Nbclus_005,"West End, Foggy Bottom, GWU"
Nbclus_008,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street"
Nbclus_032,"River Terrace, Benning, Greenway, Dupont Park"
Nbclus_033,"Capitol View, Marshall Heights, Benning Heights"
Nbclus_009,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point"
Nbclus_027,"Near Southeast, Navy Yard"
Nbclus_036,"Woodland/Fort Stanton, Garfield Heights, Knox Hill"
Nbclus_038,"Douglas, Shipley Terrace"
Nbclus_039,"Congress Heights, Bellevue, Washington Highlands"
